Jul-08, 7:25 PM,Item Name,Listed Amount,Base Price,Max Price,Min Price,Total Sold,Enhancement Level
 , ,Ancient Relic Crystal Shard,9338,1220000,1310000,1130000,48680513,0
 , ,Caphras Stone,17604,2720000,2920000,2520000,64847516,0
 , ,Scroll Written in Ancient Language,4078,1820000,1950000,1690000,29375643,0
 , ,Black Stone (Armor),727,203000,210000,188000,315489122,0
 , ,Concentrated Magical Black Stone (Armor),1523,2210000,2250000,2050000,13136914,0
 , ,Black Stone (Weapon),2269,201000,216000,186000,200289934,0
 , ,Concentrated Magical Black Stone (Weapon),1597,2200000,2360000,2040000,9399851,0
 , ,Garmoth's Heart,9,5200000000,5550000000,4810000000,3289,0
 , ,Inverted Heart of Garmoth,10,5650000000,6050000000,5250000000,1982,0
 , ,Ogre Ring,3,11100000000,11900000000,10300000000,5692,4
 , ,Laytenn's Power Stone,3,11400000000,12200000000,10600000000,3190,4
 , ,Tungrad Necklace,2,13100000000,14000000000,12200000000,839,4
 , ,Tungrad Ring,8,13200000000,14100000000,12300000000,1480,4
 , ,Tungrad Belt,4,14700000000,15800000000,13600000000,771,4
 , ,Basilisk's Belt,1,6200000000,6650000000,5750000000,6577,4
 , ,Ring of Crescent Guardian,4,5550000000,5950000000,5150000000,12458,4
 , ,Black Distortion Earring,6,22400000000,24000000000,20800000000,1860,4
 , ,Dim Tree Spirit's Armor,5,24400000000,26200000000,22600000000,896,20
 , ,Red Nose's Armor,2,23800000000,25500000000,22100000000,151,20
 , ,Bheg's Gloves,5,21300000000,22800000000,19800000000,809,20
 , ,Giath's Helmet,3,18600000000,19900000000,17300000000,221,20
 , ,Urugon's Shoes,4,22800000000,24500000000,21100000000,592,20
 , ,Kutum Talisman,0,20500000000,22000000000,19000000000,75,20
 , ,Dandelion Scythe,1,20800000000,22300000000,19300000000,186,20
 , ,Dandelion Crimson Glaives,2,20800000000,22300000000,19300000000,172,20
 , ,Kutum Noble Sword,1,20500000000,22000000000,19000000000,81,20
Jul-10, 11:03 AM,Item Name,Listed Amount,Base Price,Max Price,Min Price,Total Sold,Enhancement Level
 , ,Vell's Heart,7,9100000000,9750000000,8450000000,3665,0
 , ,Vell's Concentrated Magic,18,8200000000,8800000000,7600000000,5026,0
 , ,Memory Fragment,27489,1750000,1880000,1620000,115951565,0
 , ,Manshaum Voodoo Doll,352,640000,685000,630000,4477735,0
 , ,Ancient Relic Crystal Shard,10854,1220000,1310000,1130000,48681294,0
 , ,Caphras Stone,20125,2720000,2920000,2520000,64852569,0
 , ,Scroll Written in Ancient Language,4049,1820000,1950000,1690000,29376953,0
 , ,Black Stone (Armor),0,203000,210000,188000,315503228,0
 , ,Concentrated Magical Black Stone (Armor),1795,2210000,2250000,2050000,13137345,0
 , ,Black Stone (Weapon),0,201000,216000,186000,200301960,0
 , ,Concentrated Magical Black Stone (Weapon),2040,2200000,2360000,2040000,9400153,0
 , ,Garmoth's Heart,11,5200000000,5550000000,4810000000,3289,0
 , ,Inverted Heart of Garmoth,9,5650000000,6050000000,5250000000,1983,0
 , ,Ogre Ring,3,11100000000,11900000000,10300000000,5692,4
 , ,Laytenn's Power Stone,3,11400000000,12200000000,10600000000,3190,4
 , ,Tungrad Necklace,2,13100000000,14000000000,12200000000,839,4
 , ,Tungrad Ring,6,13200000000,14100000000,12300000000,1480,4
 , ,Tungrad Belt,4,14700000000,15800000000,13600000000,771,4
 , ,Basilisk's Belt,1,6200000000,6650000000,5750000000,6578,4
 , ,Ring of Crescent Guardian,5,5550000000,5950000000,5150000000,12458,4
 , ,Black Distortion Earring,6,22400000000,24000000000,20800000000,1860,4
 , ,Dim Tree Spirit's Armor,5,24400000000,26200000000,22600000000,896,20
 , ,Red Nose's Armor,2,23800000000,25500000000,22100000000,151,20
 , ,Bheg's Gloves,5,21300000000,22800000000,19800000000,809,20
 , ,Giath's Helmet,3,18600000000,19900000000,17300000000,221,20
 , ,Urugon's Shoes,5,22800000000,24500000000,21100000000,592,20
 , ,Kutum Talisman,0,20500000000,22000000000,19000000000,75,20
 , ,Dandelion Scythe,1,20800000000,22300000000,19300000000,186,20
 , ,Dandelion Crimson Glaives,2,20800000000,22300000000,19300000000,172,20
 , ,Kutum Noble Sword,1,20500000000,22000000000,19000000000,81,20
Jul-10, 12:03 PM,Item Name,Listed Amount,Base Price,Max Price,Min Price,Total Sold,Enhancement Level
 , ,Vell's Heart,7,9100000000,9750000000,8450000000,3665,0
 , ,Vell's Concentrated Magic,18,8200000000,8800000000,7600000000,5026,0
 , ,Memory Fragment,36496,1760000,1890000,1630000,115957287,0
 , ,Manshaum Voodoo Doll,127,640000,685000,630000,4478309,0
 , ,Ancient Relic Crystal Shard,11694,1220000,1310000,1130000,48682300,0
 , ,Caphras Stone,26914,2730000,2930000,2530000,64858475,0
 , ,Scroll Written in Ancient Language,4403,1820000,1950000,1690000,29377626,0
 , ,Black Stone (Armor),124,208000,210000,193000,315520747,0
 , ,Concentrated Magical Black Stone (Armor),1805,2100000,2250000,1950000,13138071,0
 , ,Black Stone (Weapon),5134,210000,225000,195000,200313050,0
 , ,Concentrated Magical Black Stone (Weapon),1694,2180000,2340000,2020000,9400472,0
 , ,Garmoth's Heart,11,5200000000,5550000000,4810000000,3290,0
 , ,Inverted Heart of Garmoth,9,5650000000,6050000000,5250000000,1983,0
 , ,Ogre Ring,3,11100000000,11900000000,10300000000,5692,4
 , ,Laytenn's Power Stone,3,11400000000,12200000000,10600000000,3191,4
 , ,Tungrad Necklace,2,13100000000,14000000000,12200000000,839,4
 , ,Tungrad Ring,7,13200000000,14100000000,12300000000,1480,4
 , ,Tungrad Belt,4,14700000000,15800000000,13600000000,771,4
 , ,Basilisk's Belt,1,6200000000,6650000000,5750000000,6579,4
 , ,Ring of Crescent Guardian,4,5550000000,5950000000,5150000000,12461,4
 , ,Black Distortion Earring,6,22400000000,24000000000,20800000000,1860,4
 , ,Dim Tree Spirit's Armor,5,24400000000,26200000000,22600000000,896,20
 , ,Red Nose's Armor,2,23800000000,25500000000,22100000000,151,20
 , ,Bheg's Gloves,5,21300000000,22800000000,19800000000,809,20
 , ,Giath's Helmet,3,18600000000,19900000000,17300000000,221,20
 , ,Urugon's Shoes,5,22800000000,24500000000,21100000000,592,20
 , ,Kutum Talisman,0,20500000000,22000000000,19000000000,75,20
 , ,Dandelion Scythe,1,20800000000,22300000000,19300000000,186,20
 , ,Dandelion Crimson Glaives,2,20800000000,22300000000,19300000000,172,20
 , ,Kutum Noble Sword,1,20500000000,22000000000,19000000000,81,20
Jul-10, 2:03 PM,Item Name,Listed Amount,Base Price,Max Price,Min Price,Total Sold,Enhancement Level
 , ,Vell's Heart,3,9000000000,9650000000,8350000000,3673,0
 , ,Vell's Concentrated Magic,17,8200000000,8800000000,7600000000,5027,0
 , ,Memory Fragment,46214,1770000,1900000,1640000,115975867,0
 , ,Manshaum Voodoo Doll,225,640000,685000,630000,4479425,0
 , ,Ancient Relic Crystal Shard,4745,1200000,1290000,1110000,48685169,0
 , ,Caphras Stone,24014,2720000,2920000,2520000,64873105,0
 , ,Scroll Written in Ancient Language,2015,1820000,1950000,1690000,29381874,0
 , ,Black Stone (Armor),0,208000,210000,193000,315553225,0
 , ,Concentrated Magical Black Stone (Armor),1932,2100000,2250000,1950000,13139149,0
 , ,Black Stone (Weapon),495,216000,232000,200000,200341786,0
 , ,Concentrated Magical Black Stone (Weapon),1853,2180000,2340000,2020000,9401531,0
 , ,Garmoth's Heart,11,5200000000,5550000000,4810000000,3290,0
 , ,Inverted Heart of Garmoth,10,5650000000,6050000000,5250000000,1983,0
 , ,Ogre Ring,4,11100000000,11900000000,10300000000,5692,4
 , ,Laytenn's Power Stone,3,11400000000,12200000000,10600000000,3191,4
 , ,Tungrad Necklace,2,13100000000,14000000000,12200000000,839,4
 , ,Tungrad Ring,5,13200000000,14100000000,12300000000,1480,4
 , ,Tungrad Belt,4,14700000000,15800000000,13600000000,771,4
 , ,Basilisk's Belt,1,6200000000,6650000000,5750000000,6579,4
 , ,Ring of Crescent Guardian,7,5600000000,6000000000,5200000000,12464,4
 , ,Black Distortion Earring,6,22400000000,24000000000,20800000000,1861,4
 , ,Dim Tree Spirit's Armor,5,24400000000,26200000000,22600000000,896,20
 , ,Red Nose's Armor,2,23800000000,25500000000,22100000000,151,20
 , ,Bheg's Gloves,5,21300000000,22800000000,19800000000,809,20
 , ,Giath's Helmet,3,18600000000,19900000000,17300000000,221,20
 , ,Urugon's Shoes,6,22800000000,24500000000,21100000000,592,20
 , ,Kutum Talisman,0,20500000000,22000000000,19000000000,75,20
 , ,Dandelion Scythe,1,21500000000,23100000000,19900000000,186,20
 , ,Dandelion Crimson Glaives,2,21500000000,23100000000,19900000000,172,20
 , ,Kutum Noble Sword,1,20500000000,22000000000,19000000000,81,20
